player_id,player_name,country,played_international,ipl_time_span,no_of_ipl_matches,bowling_style,batting_style,player_role
123,M Ntini,,,2008-2008,9,,,
124,DT Patil,,,2008-2008,2,,,
125,A Kumble,,,2008-2010,42,,,
126,S Anirudha,,,2014-2014,1,,,
127,MM Patel,,,2008-2010,30,,,
128,CK Kapugedera,,,2008-2008,5,,,
129,A Chopra,,,2008-2009,7,,,
130,T Taibu,,,2008-2008,3,,,
131,J Arunkumar,,,2008-2008,3,,,
132,PP Ojha,,,2012-2015,38,,,
133,SP Goswami,,,2018-2020,8,,,
134,SR Tendulkar,,,2008-2013,78,,,
135,U Kaul,,,2008-2008,5,,,
136,TM Dilshan,,,2011-2013,25,,,
137,A Mishra,,,2013-2014,27,,,
138,AD Mascarenhas,,,2008-2010,8,,,
139,NK Patel,,,2008-2009,9,,,
140,LA Pomersbach,,,2011-2011,5,,,
141,Iqbal Abdulla,,,2015-2017,15,,,
142,Younis Khan,,,2008-2008,1,,,
143,PM Sarvesh Kumar,,,2008-2008,2,,,
144,DP Vijaykumar,,,2008-2008,9,,,
145,Shoaib Akhtar,,,2008-2008,3,,,
146,Abdur Razzak,,,2008-2008,1,,,
147,H Das,,,2008-2008,1,,,
148,DR Smith,,,2008-2013,24,,,
149,SD Chitnis,,,2009-2009,1,,,
150,CRD Fernando,,,2008-2010,10,,,
151,VS Yeligati,,,2008-2008,2,,,
152,L Balaji,,,2011-2013,35,,,
153,A Mukund,,,2013-2013,1,,,
154,RR Powar,,,2011-2011,5,,,
155,JP Duminy,,,2009-2018,26,,,
156,A Flintoff,,,2009-2009,3,,,
157,T Thushara,,,2009-2010,6,,,
158,JD Ryder,,,2009-2009,5,,,
159,KP Pietersen,,,2009-2010,13,,,
160,T Henderson,,,2009-2009,2,,,
161,Kamran Khan,,,2009-2010,8,,,
162,RS Bopara,,,2015-2015,9,,,
163,CH Gayle,,,2011-2017,85,,,
164,MC Henriques,,,2014-2017,42,,,
165,R Bishnoi,,,2009-2009,3,,,
166,FH Edwards,,,2009-2009,6,,,
167,KV Sharma,,,2013-2016,46,,,
168,PC Valthaty,,,2009-2009,2,,,
169,RJ Quiney,,,2009-2009,7,,,
170,AS Raut,,,2009-2011,22,,,
171,Yashpal Singh,,,2009-2009,8,,,
172,M Manhas,,,2011-2013,23,,,
173,AA Bilakhia,,,2009-2010,7,,,
174,AN Ghosh,,,2009-2009,2,,,
175,BAW Mendis,,,2013-2013,3,,,
176,DL Vettori,,,2011-2012,22,,,
177,MN van Wyk,,,2009-2009,5,,,
178,RE van der Merwe,,,2009-2010,11,,,
179,TL Suman,,,2013-2013,7,,,
180,Shoaib Ahmed,,,2009-2009,8,,,
181,GR Napier,,,2009-2009,1,,,
182,KP Appanna,,,2009-2012,14,,,
183,LA Carseldine,,,2009-2009,5,,,
184,NV Ojha,,,2014-2017,56,,,
185,SM Harwood,,,2009-2009,3,,,
186,M Vijay,,,2015-2016,25,,,
187,SB Jakati,,,2014-2014,1,,,
188,DA Warner,,,2014-2021,95,,,
189,RJ Harris,,,2011-2013,21,,,
190,D du Preez,,,2009-2009,2,,,
191,M Morkel,,,2009-2010,4,,,
192,AD Mathews,,,2012-2013,20,,,
193,J Botha,,,2009-2012,24,,,
194,C Nanda,,,2009-2009,3,,,
195,SL Malinga,,,2009-2019,122,,,
196,Mashrafe Mortaza,,,2009-2009,1,,,
197,A Singh,,,2009-2012,23,,,
198,GJ Bailey,,,2016-2016,6,,,
199,AB McDonald,,,2012-2013,5,,,
200,Y Nagar,,,2009-2012,26,,,
201,SS Shaikh,,,2009-2009,2,,,
202,R Ashwin,,,2016-2016,14,,,
203,Mohammad Ashraful,,,2009-2009,1,,,
204,CA Pujara,,,2011-2013,14,,,
205,OA Shah,,,2012-2013,15,,,
206,Anirudh Singh,,,2010-2010,5,,,
207,Jaskaran Singh,,,2009-2010,8,,,
208,AP Tare,,,2016-2016,3,,,
209,AT Rayudu,,,2010-2017,114,,,
210,R Sathish,,,2010-2011,21,,,
211,R McLaren,,,2010-2010,10,,,
212,AA Jhunjhunwala,,,2010-2010,13,,,
213,P Dogra,,,2010-2010,9,,,
214,A Uniyal,,,2010-2010,2,,,
215,MS Bisla,,,2015-2015,2,,,
216,YA Abdulla,,,2009-2010,11,,,
217,EJG Morgan,,,2015-2016,16,,,
218,JM Kemp,,,2010-2010,5,,,
219,S Tyagi,,,2009-2010,14,,,
220,RS Gavaskar,,,2010-2010,2,,,
221,SE Bond,,,2010-2010,8,,,
222,KA Pollard,,,2010-2022,189,,,
223,S Ladda,,,2011-2013,3,,,
224,DP Nannes,,,2011-2011,2,,,
225,MJ Lumb,,,2010-2010,11,,,
226,DR Martyn,,,2010-2010,1,,,
227,S Narwal,,,2010-2010,5,,,
228,AB Barath,,,2010-2010,3,,,
229,Bipul Sharma,,,2015-2017,18,,,
230,FY Fazal,,,2010-2011,12,,,
231,AC Voges,,,2010-2010,9,,,
232,MD Mishra,,,2011-2012,7,,,
233,UT Yadav,,,2018-2020,27,,,
234,J Theron,,,2015-2015,1,,,
235,SJ Srivastava,,,2010-2011,14,,,
236,R Sharma,,,2011-2013,36,,,
237,Mandeep Singh,,,2015-2018,40,,,
238,KM Jadhav,,,2021-2021,6,,,
239,SW Tait,,,2010-2013,21,,,
240,KB Arun Karthik,,,2011-2013,16,,,
241,KAJ Roach,,,2010-2010,2,,,
242,PD Collingwood,,,2010-2010,8,,,
243,CK Langeveldt,,,2011-2011,3,,,
244,VS Malik,,,2013-2014,4,,,
245,A Mithun,,,2009-2013,16,,,
246,AP Dole,,,2010-2010,3,,,
247,AN Ahmed,,,2014-2015,7,,,
248,RS Sodhi,,,2010-2010,3,,,
249,DE Bollinger,,,2010-2012,27,,,
250,S Sriram,,,2010-2010,1,,,
251,B Sumanth,,,2010-2010,5,,,
252,C Madan,,,2010-2010,1,,,
253,AG Paunikar,,,2010-2011,5,,,
254,MR Marsh,,,2020-2020,1,,,
255,AJ Finch,,,2014-2014,13,,,
256,STR Binny,,,2016-2017,22,,,
257,Harmeet Singh,,,2013-2013,1,,,
258,IR Jaggi,,,2017-2017,2,,,
259,DT Christian,,,2013-2021,11,,,
260,RV Gomez,,,2013-2013,2,,,
261,MA Agarwal,,,2023-2024,14,,,
262,AUK Pathan,,,2011-2012,8,,,
263,UBT Chand,,,2014-2014,1,,,
264,DJ Jacobs,,,2011-2012,7,,,
265,Sunny Singh,,,2011-2011,6,,,
266,NJ Rimmington,,,2011-2011,1,,,
267,AL Menaria,,,2011-2013,29,,,
268,WD Parnell,,,2023-2023,7,,,
269,JJ van der Wath,,,2011-2011,3,,,
270,R Ninan,,,2011-2011,2,,,
271,S Aravind,,,2011-2017,38,,,
272,MS Wade,,,2022-2024,12,,,
273,TD Paine,,,2011-2011,2,,,
274,SB Wagh,,,2010-2010,1,,,
275,AC Thomas,,,2011-2012,15,,,
276,JEC Franklin,,,2011-2012,20,,,
277,Shakib Al Hasan,,,2018-2019,20,,,
278,DH Yagnik,,,2011-2014,25,,,
279,S Randiv,,,2011-2011,8,,,
280,BJ Haddin,,,2011-2011,1,,,
281,NLTC Perera,,,2013-2013,16,,,
282,NL McCullum,,,2011-2011,2,,,
283,JE Taylor,,,2011-2011,5,,,
284,J Syed Mohammad,,,2011-2013,11,,,
285,RN ten Doeschate,,,2011-2015,29,,,
286,TR Birt,,,2011-2011,5,,,
287,AG Murtaza,,,2012-2013,4,,,
288,Harpreet Singh,,,2011-2012,3,,,
289,M Klinger,,,2011-2011,4,,,
290,AC Blizzard,,,2011-2012,7,,,
291,I Malhotra,,,2011-2011,1,,,
292,L Ablish,,,2010-2011,3,,,
293,CA Ingram,,,2011-2019,15,,,
294,S Nadeem,,,2019-2021,11,,,
295,P Parameswaran,,,2012-2012,3,,,
296,CJ Ferguson,,,2011-2012,9,,,
297,VR Aaron,,,2014-2016,24,,,
298,AA Chavan,,,2011-2013,13,,,
299,ND Doshi,,,2010-2010,1,,,
300,B Kumar,,,2014-2024,145,,,
301,Y Gnaneswara Rao,,,2011-2011,2,,,
302,S Rana,,,2014-2014,9,,,
303,BA Bhatt,,,2011-2013,17,,,
304,F du Plessis,,,2022-2024,45,,,
305,RE Levi,,,2012-2012,6,,,
306,GJ Maxwell,,,2021-2024,52,,,
307,SPD Smith,,,2016-2017,23,,,
308,MN Samuels,,,2012-2013,10,,,
309,SA Yadav,,,2012-2024,96,,,
310,KK Cooper,,,2012-2014,25,,,
311,JP Faulkner,,,2013-2015,42,,,
312,HV Patel,,,2012-2023,80,,,
313,DAJ Bracewell,,,2012-2012,1,,,
314,DJ Harris,,,2012-2012,4,,,
315,Ankit Sharma,,,2013-2013,1,,,
316,SP Narine,,,2012-2024,177,,,
317,GB Hogg,,,2012-2013,10,,,
318,RR Bhatkal,,,2012-2012,1,,,
319,CJ McKay,,,2012-2012,2,,,
320,N Saini,,,2012-2012,10,,,
321,DA Miller,,,2020-2021,10,,,
322,Azhar Mahmood,,,2015-2015,1,,,
323,P Negi,,,2017-2019,21,,,
324,RJ Peterson,,,2012-2012,5,,,
325,KMDN Kulasekara,,,2011-2012,6,,,
326,A Ashish Reddy,,,2013-2016,22,,,
327,V Pratap Singh,,,2012-2012,9,,,
328,BB Samantray,,,2013-2013,8,,,
329,MJ Clarke,,,2012-2012,6,,,
330,Gurkeerat Singh,,,2019-2020,11,,,
331,AP Majumdar,,,2012-2012,4,,,
332,PA Reddy,,,2013-2013,7,,,
333,K Upadhyay,,,2012-2013,3,,,
334,P Awana,,,2012-2014,33,,,
335,AD Russell,,,2014-2024,120,,,
336,A Chandila,,,2012-2013,12,,,
337,CA Lynn,,,2021-2021,1,,,
338,Sunny Gupta,,,2012-2012,1,,,
339,MC Juneja,,,2013-2013,7,,,
340,KK Nair,,,2013-2013,2,,,
341,GH Vihari,,,2013-2015,22,,,
342,MDKJ Perera,,,2013-2013,2,,,
343,R Shukla,,,2013-2013,3,,,
344,B Laughlin,,,2018-2018,7,,,
345,AS Rajpoot,,,2020-2020,6,,,
346,M Vohra,,,2018-2018,4,,,
347,JD Unadkat,,,2024-2024,11,,,
348,Mohammed Shami,,,2013-2013,3,,,
349,BMAJ Mendis,,,2013-2013,3,,,
350,R Rampaul,,,2013-2014,12,,,
351,CH Morris,,,2020-2020,9,,,
352,SV Samson,,,2013-2024,140,,,
353,SMSM Senanayake,,,2013-2013,8,,,
354,BJ Rohrer,,,2013-2013,8,,,
355,KL Rahul,,,2014-2015,20,,,
356,Q de Kock,,,2013-2013,3,,,
357,R Dhawan,,,2013-2013,6,,,
358,MG Johnson,,,2013-2017,22,,,
359,LJ Wright,,,2012-2013,7,,,
360,IC Pandey,,,2013-2013,2,,,
361,CM Gautam,,,2014-2014,9,,,
362,X Thalaivan Sargunam,,,2013-2013,1,,,
363,DJG Sammy,,,2013-2014,20,,,
364,KW Richardson,,,2016-2021,5,,,
365,MM Sharma,,,2016-2018,37,,,
366,UA Birla,,,2013-2013,2,,,
367,Parvez Rasool,,,2014-2015,5,,,
368,Sandeep Sharma,,,2018-2021,43,,,
369,S Kaul,,,2017-2021,43,,,
370,Sachin Baby,,,2016-2021,15,,,
371,PV Tambe,,,2013-2015,26,,,
372,NM Coulter-Nile,,,2022-2022,1,,,
373,CJ Anderson,,,2018-2018,3,,,
374,NJ Maddinson,,,2014-2015,3,,,
375,AR Patel,,,2014-2018,68,,,
376,JJ Bumrah,,,2013-2024,133,,,
377,JDS Neesham,,,2022-2022,2,,,
378,TG Southee,,,2018-2019,11,,,
379,MA Starc,,,2014-2015,27,,,
380,BR Dunk,,,2014-2014,3,,,
381,RR Rossouw,,,2014-2015,5,,,
382,Shivam Sharma,,,2014-2015,5,,,
383,YS Chahal,,,2014-2021,113,,,
384,LMP Simmons,,,2014-2017,29,,,
385,VH Zol,,,2014-2014,3,,,
386,BCJ Cutting,,,2016-2017,8,,,
387,Imran Tahir,,,2017-2017,12,,,
388,BE Hendricks,,,2014-2015,7,,,
389,S Gopal,,,2022-2022,1,,,
390,M de Lange,,,2014-2015,2,,,
391,R Tewatia,,,2014-2021,32,,,
392,JO Holder,,,2014-2021,16,,,
393,Karanveer Singh,,,2014-2015,9,,,
394,SS Iyer,,,2022-2024,29,,,
395,DJ Hooda,,,2016-2019,47,,,
396,Anureet Singh,,,2018-2018,3,,,
397,KS Williamson,,,2015-2022,76,,,
398,SA Abbott,,,2022-2022,1,,,
399,J Suchith,,,2021-2022,7,,,
400,RG More,,,2015-2015,2,,,
401,HH Pandya,,,2015-2024,106,,,
402,D Wiese,,,2015-2016,15,,,
403,SN Khan,,,2015-2018,25,,,
404,MJ McClenaghan,,,2015-2019,56,,,
405,DJ Muthuswami,,,2015-2015,6,,,
406,PJ Cummins,,,2024-2024,16,,,
407,SN Thakur,,,2017-2017,12,,,
408,JC Buttler,,,2018-2024,83,,,
409,CR Brathwaite,,,2018-2018,4,,,
410,MP Stoinis,,,2019-2019,10,,,
411,Ishan Kishan,,,2018-2024,89,,,
412,C Munro,,,2016-2016,4,,,
413,P Sahu,,,2016-2016,5,,,
414,KH Pandya,,,2016-2021,84,,,
415,AD Nath,,,2019-2019,8,,,
416,MJ Guptill,,,2019-2019,3,,,
417,KJ Abbott,,,2016-2016,5,,,
418,TM Head,,,2024-2024,15,,,
419,M Ashwin,,,2018-2018,2,,,
420,NS Naik,,,2019-2020,2,,,
421,RR Pant,,,2016-2024,111,,,
422,SW Billings,,,2022-2022,8,,,
423,KC Cariappa,,,2015-2019,2,,,
424,PSP Handscomb,,,2016-2016,2,,,
425,Swapnil Singh,,,2024-2024,7,,,
426,J Yadav,,,2019-2021,9,,,
427,UT Khawaja,,,2016-2016,6,,,
428,HM Amla,,,2016-2017,16,,,
429,F Behardien,,,2016-2016,3,,,
430,BB Sran,,,2016-2017,15,,,
431,A Zampa,,,2020-2020,3,,,
432,N Rana,,,2016-2017,17,,,
433,S Kaushik,,,2016-2017,10,,,
434,ER Dwivedi,,,2016-2016,4,,,
435,CJ Jordan,,,2017-2018,2,,,
436,TS Mills,,,2017-2017,5,,,
437,A Choudhary,,,2017-2017,5,,,
438,BA Stokes,,,2017-2017,12,,,
439,JJ Roy,,,2021-2021,5,,,
440,Vishnu Vinod,,,2017-2017,3,,,
441,Basil Thampi,,,2018-2020,8,,,
442,CR Woakes,,,2018-2018,5,,,
443,RA Tripathi,,,2022-2024,33,,,
444,DL Chahar,,,2016-2017,5,,,
445,V Shankar,,,2017-2021,33,,,
446,Rashid Khan,,,2017-2021,76,,,
447,RD Chahar,,,2017-2017,3,,,
448,LH Ferguson,,,2024-2024,7,,,
449,C de Grandhomme,,,2018-2019,13,,,
450,AF Milne,,,2016-2017,5,,,
451,S Badree,,,2017-2017,7,,,
452,Mohammad Nabi,,,2017-2021,17,,,
453,AJ Tye,,,2020-2020,1,,,
454,K Rabada,,,2022-2024,30,,,
455,Kuldeep Yadav,,,2016-2020,45,,,
456,Washington Sundar,,,2022-2024,18,,,
457,DM Bravo,,,2017-2017,1,,,
458,AR Bawne,,,2017-2017,1,,,
459,SP Jackson,,,2017-2022,9,,,
460,Ankit Soni,,,2017-2017,7,,,
461,TA Boult,,,2015-2016,8,,,
462,E Lewis,,,2021-2021,5,,,
463,MA Wood,,,2023-2023,4,,,
464,RK Singh,,,2018-2024,46,,,
465,DJM Short,,,2018-2018,7,,,
466,K Gowtham,,,2018-2019,22,,,
467,TK Curran,,,2020-2020,5,,,
468,M Markande,,,2023-2024,17,,,
469,B Stanlake,,,2018-2018,4,,,
470,Mujeeb Ur Rahman,,,2021-2021,1,,,
471,A Dananjaya,,,2018-2018,1,,,
472,Shubman Gill,,,2018-2021,58,,,
473,Shivam Mavi,,,2018-2022,32,,,
474,Mohammed Siraj,,,2017-2017,6,,,
475,H Klaasen,,,2023-2024,28,,,
476,RK Bhui,,,2018-2019,2,,,
477,JC Archer,,,2018-2020,35,,,
478,PP Shaw,,,2018-2024,79,,,
479,LE Plunkett,,,2018-2018,7,,,
480,Mustafizur Rahman,,,2016-2017,17,,,
481,AD Hales,,,2018-2018,6,,,
482,MK Lomror,,,2022-2024,29,,,
483,DR Shorey,,,2018-2019,2,,,
484,MM Ali,,,2018-2020,19,,,
485,M Prasidh Krishna,,,2022-2022,17,,,
486,P Chopra,,,2018-2019,2,,,
487,JPR Scantlebury-Searles,,,2018-2018,4,,,
488,Abhishek Sharma,,,2019-2024,60,,,
489,IS Sodhi,,,2018-2019,8,,,
490,SO Hetmyer,,,2019-2019,5,,,
491,S Dube,,,2019-2020,15,,,
492,Navdeep Saini,,,,,,,
493,JM Bairstow,,,2019-2021,28,,,
494,KMA Paul,,,2019-2019,8,,,
495,Rasikh Salam,,,2019-2019,1,,,
496,N Pooran,,,2022-2022,14,,,
497,P Ray Barman,,,2019-2019,1,,,
498,SM Curran,,,2019-2024,36,,,
499,GC Viljoen,,,2019-2019,6,,,
500,Avesh Khan,,,2017-2017,1,,,
501,S Lamichhane,,,2018-2019,9,,,
502,HF Gurney,,,2019-2019,8,,,
503,SD Lad,,,2019-2019,1,,,
504,AS Joseph,,,2024-2024,3,,,
505,R Parag,,,2019-2024,70,,,
506,MJ Santner,,,2019-2024,18,,,
507,JL Denly,,,2019-2019,1,,,
508,LS Livingstone,,,2019-2021,9,,,
509,KK Ahmed,,,2018-2021,24,,,
510,AJ Turner,,,2019-2019,4,,,
511,Harpreet Brar,,,2019-2024,41,,,
512,SE Rutherford,,,2022-2022,3,,,
513,Y Prithvi Raj,,,2019-2019,2,,,
514,P Simran Singh,,,,,,,
515,JL Pattinson,,,2020-2020,10,,,
516,A Nortje,,,2020-2024,46,,,
517,T Banton,,,2020-2020,2,,,
518,D Padikkal,,,2020-2021,29,,,
519,YBK Jaiswal,,,2020-2024,53,,,
520,RD Gaikwad,,,2020-2024,66,,,
521,TU Deshpande,,,2020-2020,5,,,
522,Abdul Samad,,,2020-2024,50,,,
523,PK Garg,,,2020-2022,21,,,
524,JR Philippe,,,2020-2020,5,,,
525,Kartik Tyagi,,,2022-2023,5,,,
526,KL Nagarkoti,,,2020-2021,11,,,
527,CV Varun,,,2020-2024,70,,,
528,I Udana,,,2020-2020,10,,,
529,Ravi Bishnoi,,,2022-2024,43,,,
530,Shahbaz Ahmed,,,2024-2024,16,,,
531,AT Carey,,,2020-2020,3,,,
532,N Jagadeesan,,,2023-2023,6,,,
533,T Natarajan,,,2020-2024,55,,,
534,P Dubey,,,2020-2023,4,,,
535,SS Cottrell,,,2020-2020,6,,,
536,Arshdeep Singh,,,2019-2024,65,,,
537,DR Sams,,,2021-2021,2,,,
538,M Jansen,,,2022-2024,19,,,
539,RM Patidar,,,2021-2024,27,,,
540,KA Jamieson,,,2021-2021,9,,,
541,M Shahrukh Khan,,,2021-2023,33,,,
542,JA Richardson,,,2021-2021,3,,,
543,Lalit Yadav,,,2021-2024,27,,,
544,Virat Singh,,,2021-2021,3,,,
545,FA Allen,,,2022-2022,1,,,
546,C Sakariya,,,2021-2021,14,,,
547,DJ Malan,,,2021-2021,1,,,
548,KS Bharat,,,2021-2021,8,,,
549,PWH de Silva,,,,,,,
550,VR Iyer,,,2021-2024,51,,,
551,GD Phillips,,,2023-2023,5,,,
552,GHS Garton,,,2021-2021,5,,,
553,AK Markram,,,2022-2024,38,,,
554,K Yadav,,,2021-2023,3,,,
555,T Shamsi,,,2016-2016,4,,,
556,NT Ellis,,,2021-2024,16,,,
557,RV Patel,,,2021-2023,9,,,
558,TL Seifert,,,2021-2021,1,,,
559,Anmolpreet Singh,,,2023-2024,6,,,
560,Anuj Rawat,,,2022-2024,22,,,
561,TH David,,,2021-2021,1,,,
562,DP Conway,,,2022-2023,23,,,
563,Tilak Varma,,,,,,,
564,R Powell,,,2024-2024,10,,,
565,PBB Rajapaksa,,,2022-2023,13,,,
566,RA Bawa,,,2022-2022,2,,,
567,OF Smith,,,2022-2022,6,,,
568,A Badoni,,,2022-2024,42,,,
569,PVD Chameera,,,2022-2022,12,,,
570,A Manohar,,,2022-2024,19,,,
571,R Shepherd,,,2022-2022,3,,,
572,DJ Willey,,,2022-2023,8,,,
573,D Pretorius,,,2022-2023,7,,,
574,JM Sharma,,,2022-2024,40,,,
575,VG Arora,,,2023-2024,15,,,
576,Mukesh Choudhary,,,2022-2024,14,,,
577,Umran Malik,,,2021-2024,26,,,
578,D Brevis,,,2022-2024,10,,,
579,B Sai Sudharsan,,,2022-2024,25,,,
580,Ramandeep Singh,,,2022-2022,5,,,
581,HE van der Dussen,,,2022-2022,3,,,
582,SS Prabhudessai,,,2022-2024,11,,,
583,Akash Deep,,,2022-2024,8,,,
584,JR Hazlewood,,,2022-2023,15,,,
585,KR Sen,,,2022-2024,12,,,
586,Aman Hakim Khan,,,2022-2022,1,,,
587,HR Shokeen,,,2022-2023,13,,,
588,Yash Dayal,,,2024-2024,14,,,
589,DJ Mitchell,,,2022-2022,2,,,
590,Shashank Singh,,,2022-2022,10,,,
591,B Indrajith,,,2022-2022,3,,,
592,Harshit Rana,,,2022-2024,21,,,
593,Mohsin Khan,,,2022-2024,24,,,
594,Simarjeet Singh,,,2022-2024,10,,,
595,M Theekshana,,,2022-2024,27,,,
596,AS Roy,,,2019-2019,1,,,
597,Fazalhaq Farooqi,,,2022-2023,7,,,
598,K Kartikeya,,,2022-2023,12,,,
599,RP Meredith,,,2022-2023,13,,,
600,KS Sharma,,,2022-2023,3,,,
601,T Stubbs,,,2022-2023,4,,,
602,R Sanjay Yadav,,,2022-2022,1,,,
603,A Tomar,,,2022-2022,1,,,
604,PN Mankad,,,2023-2023,5,,,
605,OC McCoy,,,2022-2023,8,,,
606,Sikandar Raza,,,2023-2024,9,,,
607,Rahmanullah Gurbaz,,,2023-2024,14,,,
608,KR Mayers,,,2023-2023,13,,,
609,Mukesh Kumar,,,2023-2024,20,,,
610,HC Brook,,,2023-2023,11,,,
611,AU Rashid,,,2023-2023,2,,,
612,C Green,,,2024-2024,13,,,
613,N Wadhera,,,2023-2024,20,,,
614,Arshad Khan,,,2023-2023,6,,,
615,Abishek Porel,,,2023-2024,18,,,
616,Dhruv Jurel,,,,,,,
617,MG Bracewell,,,2023-2023,5,,,
618,MW Short,,,2023-2023,6,,,
619,Mohit Rathee,,,2023-2023,1,,,
