player_id,player_name,country,played_international,bowling_style,batting_style,player_role,played_t20i
632,JE Root,England,2012 - 2024,Right arm Offbreak,Right hand Bat,Top order Batter,Yes
634,MD Shanaka,Sri Lanka,2015 - 2024,Right arm Medium,Right hand Bat,Allrounder,Yes
638,R Ravindra,New Zealand,2021 - 2025,Slow Left arm Orthodox,Left hand Bat,Batting Allrounder,Yes
639,SD Hope,West Indies,2015 - 2024,,Right hand Bat,Wicketkeeper Batter,Yes
641,Azmatullah Omarzai,Afghanistan,2021 - 2024,Right arm Medium fast,Right hand Bat,Allrounder,Yes
643,G Coetzee,South Africa,2023 - 2024,Right arm Fast,Right hand Bat,Bowler,Yes
646,SH Johnson,Australia,2023 - 2024,Left arm Fast,Left hand Bat,Bowler,Yes
650,RJW Topley,England,2015 - 2024,Left arm Fast medium,Right hand Bat,Bowler,Yes
657,WG Jacks,England,2022 - 2024,Right arm Offbreak,Right hand Bat,Batting Allrounder,Yes
658,J Fraser-McGurk,Australia,2024 - 2024,Legbreak Googly,Right hand Bat,Batter,Yes
660,KA Maharaj,South Africa,2016 - 2025,Slow Left arm Orthodox,Right hand Bat,Bowler,Yes
663,L Wood,England,2022 - 2023,Left arm Fast medium,Left hand Bat,Bowler,Yes
664,LB Williams,South Africa,2021 - 2024,Right arm Medium fast,Left hand Bat,Bowler,Yes
667,RJ Gleeson,England,2022 - 2022,Right arm Fast medium,Right hand Bat,Bowler,Yes
668,Gulbadin Naib,Afghanistan,2011 - 2024,Right arm Medium fast,Right hand Bat,Batting Allrounder,Yes
669,D Ferreira,South Africa,2023 - 2024,Right arm Offbreak,Right hand Bat,Allrounder,Yes
673,V Viyaskanth,Sri Lanka,2023 - 2023,Legbreak,Right hand Bat,Bowler,Yes
675,B Geeves,Australia,2008 - 2009,Right arm Fast medium,Right hand Bat,Bowler,Yes
677,A Nel,South Africa,2001 - 2008,Right arm Fast medium,Right hand Bat,Bowler,Yes
688,RW Price,Zimbabwe,1999 - 2013,Slow Left arm Orthodox,Right hand Bat,Bowler,Yes
690,BW Hilfenhaus,Australia,2007 - 2012,Right arm Fast medium,Right hand Bat,Bowler,Yes
693,K Santokie,West Indies,2011 - 2014,Left arm Medium,Left hand Bat,Bowler,Yes
694,JW Hastings,Australia,2010 - 2017,Right arm Fast medium,Right hand Bat,Allrounder,Yes
696,SM Boland,Australia,2016 - 2025,Right arm Fast medium,Right hand Bat,Bowler,Yes
700,MJ Henry,New Zealand,2014 - 2025,Right arm Fast medium,Right hand Bat,Bowler,Yes
702,L Ngidi,South Africa,2017 - 2024,Right arm Fast medium,Right hand Bat,Bowler,Yes
703,CJ Dala,South Africa,2018 - 2021,Right arm Medium,Right hand Bat,Bowler,Yes
704,SC Kuggeleijn,New Zealand,2017 - 2024,Right arm Fast medium,Right hand Bat,Bowling Allrounder,Yes
706,O Thomas,West Indies,2018 - 2024,Right arm Fast,Left hand Bat,Bowler,Yes
708,CJ Green,Australia,2023 - 2023,Right arm Offbreak,Right hand Bat,Bowling Allrounder,Yes
715,M Pathirana,Sri Lanka,2022 - 2024,Right arm Fast,Right hand Bat,Bowler,Yes
721,SSB Magala,South Africa,2021 - 2023,Right arm Fast medium,Right hand Bat,Bowler,Yes
726,N Burger,South Africa,2023 - 2024,Left arm Fast medium,Left hand Bat,Bowler,Yes
727,KT Maphaka,South Africa,2024 - 2025,Left arm Fast,Left hand Bat,Bowler,Yes
730,S Joseph,West Indies,2024 - 2024,Right arm Fast,Left hand Bat,Bowler,Yes
731,N Thushara,Sri Lanka,2022 - 2025,Right arm Medium fast,Right hand Bat,Bowler,Yes
