player_id,player_name,country,played_international,bowling_style,batting_style,player_role
428,HM Amla,South Africa,2004 - 2019,"Right arm Medium, Right arm Offbreak",Right hand Bat,Top order Batter
429,F Behardien,South Africa,2012 - 2018,Right arm Fast medium,Right hand Bat,Batting Allrounder
430,BB Sran,India,2016 - 2016,Left arm Medium,Left hand Bat,Bowler
431,A Zampa,Australia,2016 - 2024,Legbreak Googly,Right hand Bat,Bowler
432,N Rana,India,2021 - 2021,"Right arm Medium, Right arm Offbreak, Legbreak",Left hand Bat,Middle order Batter
433,S Kaushik,India,,Left arm Wrist spin,Right hand Bat,Bowler
434,ER Dwivedi,India,,,Right hand Bat,Wicketkeeper
435,CJ Jordan,England,2013 - 2024,Right arm Fast medium,Right hand Bat,Bowler
436,TS Mills,England,2016 - 2023,Left arm Fast,Right hand Bat,Bowler
437,A Choudhary,India,,Left arm Medium,Right hand Bat,Bowler
438,BA Stokes,England,2011 - 2024,Right arm Fast medium,Left hand Bat,Allrounder
439,JJ Roy,England,2014 - 2023,,Right hand Bat,Opening Batter
440,Vishnu Vinod,India,,,Right hand Bat,Wicketkeeper Batter
441,Basil Thampi,India,,Right arm Fast medium,Right hand Bat,Bowler
442,CR Woakes,England,2011 - 2024,Right arm Fast medium,Right hand Bat,Allrounder
443,RA Tripathi,India,2023 - 2023,Right arm Medium,Right hand Bat,Top order Batter
444,DL Chahar,India,2018 - 2023,Right arm Medium,Right hand Bat,Bowler
445,V Shankar,India,2018 - 2019,Right arm Medium,Right hand Bat,Allrounder
446,Rashid Khan,Afghanistan,2015 - 2025,Legbreak Googly,Right hand Bat,Bowling Allrounder
447,RD Chahar,India,2019 - 2021,Legbreak Googly,Right hand Bat,Bowler
448,LH Ferguson,New Zealand,2016 - 2024,Right arm Fast,Right hand Bat,Bowler
449,C de Grandhomme,New Zealand,2012 - 2022,Right arm Medium fast,Right hand Bat,Allrounder
450,AF Milne,New Zealand,2010 - 2024,Right arm Fast,Right hand Bat,Bowler
451,S Badree,West Indies,2012 - 2018,Legbreak,Right hand Bat,Bowler
452,Mohammad Nabi,Afghanistan,2009 - 2024,Right arm Offbreak,Right hand Bat,Allrounder
453,AJ Tye,Australia,2016 - 2021,Right arm Medium fast,Right hand Bat,Bowler
454,K Rabada,South Africa,2014 - 2025,Right arm Fast,Left hand Bat,Bowler
455,Kuldeep Yadav,India,2014 - 2024,Left arm Wrist spin,Left hand Bat,Bowler
456,Washington Sundar,India,2017 - 2025,Right arm Offbreak,Left hand Bat,Bowling Allrounder
457,DM Bravo,West Indies,2009 - 2022,Right arm Medium,Left hand Bat,Top order Batter
458,AR Bawne,India,,Right arm Offbreak,Right hand Bat,Middle order Batter
459,SP Jackson,India,,Right arm Offbreak,Right hand Bat,Wicketkeeper Batter
460,Ankit Soni,India,,Legbreak,Right hand Bat,Allrounder
461,TA Boult,New Zealand,2011 - 2024,Left arm Fast medium,Right hand Bat,Bowler
462,E Lewis,West Indies,2016 - 2024,,Left hand Bat,Opening Batter
463,MA Wood,England,2015 - 2024,Right arm Fast,Right hand Bat,Bowler
464,RK Singh,India,2023 - 2024,Right arm Offbreak,Left hand Bat,Middle order Batter
465,DJM Short,Australia,2018 - 2020,Left arm Wrist spin,Left hand Bat,Opening Batter
466,K Gowtham,India,2021 - 2021,Right arm Offbreak,Right hand Bat,Bowling Allrounder
467,TK Curran,England,2017 - 2021,Right arm Fast medium,Right hand Bat,Allrounder
468,M Markande,India,2019 - 2019,Legbreak,Right hand Bat,Bowler
469,B Stanlake,Australia,2017 - 2019,Right arm Fast,Left hand Bat,Bowler
470,Mujeeb Ur Rahman,Afghanistan,2017 - 2024,Right arm Offbreak,Right hand Bat,Bowler
471,A Dananjaya,Sri Lanka,2012 - 2024,"Right arm Offbreak, Legbreak",Left hand Bat,Bowling Allrounder
472,Shubman Gill,India,2019 - 2025,Right arm Offbreak,Right hand Bat,Opening Batter
473,Shivam Mavi,India,2023 - 2023,Right arm Fast medium,Right hand Bat,Bowler
474,Mohammed Siraj,India,2017 - 2025,Right arm Fast,Right hand Bat,Bowler
475,H Klaasen,South Africa,2018 - 2024,Right arm Offbreak,Right hand Bat,Wicketkeeper Batter
476,RK Bhui,India,,Legbreak Googly,Right hand Bat,Top order Batter
477,JC Archer,England,2019 - 2024,Right arm Fast,Right hand Bat,Bowler
478,PP Shaw,India,2018 - 2021,Right arm Offbreak,Right hand Bat,Opening Batter
479,LE Plunkett,U.S.A.,2005 - 2019,Right arm Fast,Right hand Bat,Bowler
480,Mustafizur Rahman,Bangladesh,2015 - 2024,Left arm Fast medium,Left hand Bat,Bowler
481,AD Hales,England,2011 - 2022,Right arm Medium,Right hand Bat,Opening Batter
482,MK Lomror,India,,Slow Left arm Orthodox,Left hand Bat,Allrounder
483,DR Shorey,India,,Right arm Offbreak,Right hand Bat,Top order Batter
484,MM Ali,England,2014 - 2024,Right arm Offbreak,Left hand Bat,Batting Allrounder
485,M Prasidh Krishna,India,2021 - 2025,Right arm Fast medium,Right hand Bat,Bowler
486,P Chopra,India,,Legbreak Googly,Right hand Bat,Opening Batter
487,JPR Scantlebury-Searles,West Indies,,Right arm Fast medium,Right hand Bat,Bowling Allrounder
488,Abhishek Sharma,India,2024 - 2024,Slow Left arm Orthodox,Left hand Bat,Allrounder
489,IS Sodhi,New Zealand,2013 - 2024,Legbreak,Right hand Bat,Bowler
490,SO Hetmyer,West Indies,2017 - 2024,,Left hand Bat,Middle order Batter
491,S Dube,India,2019 - 2024,Right arm Medium,Left hand Bat,Allrounder
492,Navdeep Saini,,,,,
493,JM Bairstow,England,2011 - 2024,Right arm Medium,Right hand Bat,Wicketkeeper Batter
494,KMA Paul,West Indies,2018 - 2023,Right arm Fast medium,Right hand Bat,Allrounder
495,Rasikh Salam,India,,Right arm Medium,Right hand Bat,Bowler
496,N Pooran,West Indies,2016 - 2024,Right arm Offbreak,Left hand Bat,Wicketkeeper Batter
497,P Ray Barman,India,,Legbreak Googly,Right hand Bat,Bowler
498,SM Curran,England,2018 - 2024,Left arm Medium fast,Left hand Bat,Allrounder
499,GC Viljoen,South Africa,2016 - 2016,Right arm Fast,Right hand Bat,Bowler
500,Avesh Khan,India,2022 - 2024,Right arm Fast medium,Right hand Bat,Bowler
501,S Lamichhane,Nepal,2018 - 2024,Legbreak Googly,Right hand Bat,Bowler
502,HF Gurney,England,2014 - 2014,Left arm Fast medium,Right hand Bat,Bowler
503,SD Lad,India,,Right arm Offbreak,Right hand Bat,Middle order Batter
504,AS Joseph,West Indies,2016 - 2024,Right arm Fast,Right hand Bat,Bowler
505,R Parag,India,2024 - 2024,"Right arm Offbreak, Legbreak",Right hand Bat,Top order Batter
506,MJ Santner,New Zealand,2015 - 2025,Slow Left arm Orthodox,Left hand Bat,Bowling Allrounder
507,JL Denly,England,2009 - 2020,Legbreak,Right hand Bat,Top order Batter
508,LS Livingstone,England,2017 - 2024,"Right arm Offbreak, Legbreak",Right hand Bat,Batting Allrounder
509,KK Ahmed,India,2018 - 2024,Left arm Fast medium,Right hand Bat,Bowler
510,AJ Turner,Australia,2017 - 2023,Right arm Offbreak,Right hand Bat,Middle order Batter
511,Harpreet Brar,India,,Slow Left arm Orthodox,Left hand Bat,Bowler
512,SE Rutherford,West Indies,2018 - 2024,Right arm Fast medium,Left hand Bat,Middle order Batter
513,Y Prithvi Raj,India,,Left arm Medium,Left hand Bat,Bowler
514,P Simran Singh,,,,,
515,JL Pattinson,Australia,2011 - 2020,Right arm Fast medium,Left hand Bat,Bowler
516,A Nortje,South Africa,2019 - 2024,Right arm Fast,Right hand Bat,Bowler
517,T Banton,England,2019 - 2022,,Right hand Bat,Wicketkeeper Batter
518,D Padikkal,India,2021 - 2024,Right arm Offbreak,Left hand Bat,Top order Batter
519,YBK Jaiswal,India,2023 - 2025,Legbreak,Left hand Bat,Opening Batter
520,RD Gaikwad,India,2021 - 2024,Right arm Offbreak,Right hand Bat,Batter
521,TU Deshpande,India,2024 - 2024,Right arm Medium,Left hand Bat,Bowler
522,Abdul Samad,India,,Legbreak,Right hand Bat,Batter
523,PK Garg,India,,Right arm Medium,Right hand Bat,Top order Batter
524,JR Philippe,Australia,2021 - 2023,,Right hand Bat,Wicketkeeper Batter
525,Kartik Tyagi,India,,Right arm Fast,Right hand Bat,Bowler
526,KL Nagarkoti,India,,Right arm Fast,Right hand Bat,Bowler
527,CV Varun,India,2021 - 2024,Legbreak Googly,Right hand Bat,Bowler
528,I Udana,Sri Lanka,2009 - 2021,Left arm Medium fast,Right hand Bat,Allrounder
529,Ravi Bishnoi,India,2022 - 2024,Legbreak Googly,Right hand Bat,Bowler
530,Shahbaz Ahmed,India,2022 - 2023,Slow Left arm Orthodox,Left hand Bat,Allrounder
531,AT Carey,Australia,2018 - 2025,,Left hand Bat,Wicketkeeper Batter
532,N Jagadeesan,India,,,Right hand Bat,Wicketkeeper Batter
533,T Natarajan,India,2020 - 2021,Left arm Medium,Left hand Bat,Bowler
534,P Dubey,India,,Legbreak Googly,Right hand Bat,Bowler
535,SS Cottrell,West Indies,2013 - 2023,Left arm Fast medium,Right hand Bat,Bowler
536,Arshdeep Singh,India,2022 - 2024,Left arm Medium fast,Left hand Bat,Bowler
537,DR Sams,Australia,2020 - 2022,Left arm Fast medium,Right hand Bat,Allrounder
538,M Jansen,South Africa,2021 - 2025,Left arm Fast,Right hand Bat,Bowling Allrounder
539,RM Patidar,India,2023 - 2024,Right arm Offbreak,Right hand Bat,Top order Batter
540,KA Jamieson,New Zealand,2020 - 2024,Right arm Fast medium,Right hand Bat,Bowler
541,M Shahrukh Khan,India,,Right arm Offbreak,Right hand Bat,Batter
542,JA Richardson,Australia,2017 - 2022,Right arm Fast,Right hand Bat,Bowler
543,Lalit Yadav,India,,Right arm Offbreak,Right hand Bat,Allrounder
544,Virat Singh,India,,Legbreak Googly,Left hand Bat,Top order Batter
545,FA Allen,West Indies,2018 - 2024,Slow Left arm Orthodox,Right hand Bat,Bowling Allrounder
546,C Sakariya,India,2021 - 2021,Left arm Medium fast,Left hand Bat,Bowler
547,DJ Malan,England,2017 - 2023,Legbreak,Left hand Bat,Top order Batter
548,KS Bharat,India,2023 - 2024,,Right hand Bat,Wicketkeeper Batter
549,PWH de Silva,,,,,
550,VR Iyer,India,2021 - 2022,Right arm Medium,Left hand Bat,Allrounder
551,GD Phillips,New Zealand,2017 - 2025,Right arm Offbreak,Right hand Bat,Allrounder
552,GHS Garton,England,2022 - 2022,Left arm Fast,Left hand Bat,Bowling Allrounder
553,AK Markram,South Africa,2017 - 2025,Right arm Offbreak,Right hand Bat,Allrounder
554,K Yadav,India,,Left arm Fast medium,Left hand Bat,Bowler
555,T Shamsi,South Africa,2016 - 2024,Left arm Wrist spin,Right hand Bat,Bowler
556,NT Ellis,Australia,2021 - 2024,Right arm Fast medium,Right hand Bat,Bowler
557,RV Patel,India,,Right arm Medium fast,Right hand Bat,Middle order Batter
558,TL Seifert,New Zealand,2018 - 2024,,Right hand Bat,Wicketkeeper Batter
559,Anmolpreet Singh,India,,Right arm Offbreak,Right hand Bat,Batter
560,Anuj Rawat,India,,,Left hand Bat,Wicketkeeper Batter
561,TH David,Australia,2019 - 2024,Right arm Offbreak,Right hand Bat,Middle order Batter
562,DP Conway,New Zealand,2020 - 2024,Right arm Medium,Left hand Bat,Wicketkeeper Batter
563,Tilak Varma,,,,,
564,R Powell,West Indies,2016 - 2024,Right arm Medium fast,Right hand Bat,Middle order Batter
565,PBB Rajapaksa,Sri Lanka,2019 - 2025,Right arm Medium,Left hand Bat,Top order Batter
566,RA Bawa,India,,Right arm Medium fast,Left hand Bat,Allrounder
567,OF Smith,West Indies,2018 - 2023,Right arm Fast medium,Right hand Bat,Bowling Allrounder
568,A Badoni,India,,Right arm Offbreak,Right hand Bat,Batter
569,PVD Chameera,Sri Lanka,2015 - 2024,Right arm Fast,Right hand Bat,Bowler
570,A Manohar,India,,Legbreak Googly,Right hand Bat,Batting Allrounder
571,R Shepherd,West Indies,2019 - 2024,Right arm Fast medium,Right hand Bat,Bowling Allrounder
572,DJ Willey,England,2015 - 2023,Left arm Fast medium,Left hand Bat,Bowling Allrounder
573,D Pretorius,South Africa,2016 - 2022,Right arm Medium fast,Right hand Bat,Bowling Allrounder
574,JM Sharma,India,2023 - 2024,,Right hand Bat,Wicketkeeper Batter
575,VG Arora,India,,Right arm Fast medium,Right hand Bat,Bowler
576,Mukesh Choudhary,India,,Left arm Medium,Left hand Bat,Bowler
577,Umran Malik,India,2022 - 2023,Right arm Fast,Right hand Bat,Bowler
578,D Brevis,South Africa,2023 - 2023,Legbreak,Right hand Bat,Batting Allrounder
579,B Sai Sudharsan,India,2023 - 2024,Legbreak,Left hand Bat,Top order Batter
580,Ramandeep Singh,India,2024 - 2024,Right arm Medium,Right hand Bat,Middle order Batter
581,HE van der Dussen,South Africa,2018 - 2024,Legbreak,Right hand Bat,Top order Batter
582,SS Prabhudessai,India,,Right arm Medium,Right hand Bat,Batting Allrounder
583,Akash Deep,India,2024 - 2024,Right arm Fast medium,Right hand Bat,Bowler
584,JR Hazlewood,Australia,2010 - 2024,Right arm Fast medium,Left hand Bat,Bowler
585,KR Sen,India,2022 - 2022,Right arm Fast,Right hand Bat,Bowler
586,Aman Hakim Khan,India,,Right arm Medium,Right hand Bat,Allrounder
587,HR Shokeen,India,,Right arm Offbreak,Right hand Bat,Bowler
588,Yash Dayal,India,,Left arm Medium fast,Right hand Bat,Bowler
589,DJ Mitchell,New Zealand,2019 - 2025,Right arm Medium,Right hand Bat,Batting Allrounder
590,Shashank Singh,India,,"Right arm Medium, Right arm Offbreak",Right hand Bat,Batting Allrounder
591,B Indrajith,India,,Legbreak Googly,Right hand Bat,Top order Batter
592,Harshit Rana,India,2024 - 2024,Right arm Fast,Right hand Bat,Bowler
593,Mohsin Khan,India,,Left arm Medium fast,Left hand Bat,Bowler
594,Simarjeet Singh,India,,Right arm Medium fast,Right hand Bat,Bowler
595,M Theekshana,Sri Lanka,2021 - 2025,Right arm Offbreak,Right hand Bat,Bowler
596,AS Roy,India,,Slow Left arm Orthodox,Left hand Bat,Allrounder
597,Fazalhaq Farooqi,Afghanistan,2021 - 2024,Left arm Fast medium,Right hand Bat,Bowler
598,K Kartikeya,India,,"Slow Left arm Orthodox, Left arm Wrist spin",Right hand Bat,Bowler
599,RP Meredith,Australia,2021 - 2024,Right arm Fast,Right hand Bat,Bowler
600,KS Sharma,India,,Right arm Offbreak,Right hand Bat,Allrounder
601,T Stubbs,South Africa,2022 - 2025,Right arm Offbreak,Right hand Bat,Batter
602,R Sanjay Yadav,India,,Slow Left arm Orthodox,Left hand Bat,Allrounder
603,A Tomar,India,,Right arm Offbreak,Right hand Bat,Opening Batter
604,PN Mankad,India,,Right arm Medium,Right hand Bat,Allrounder
605,OC McCoy,West Indies,2018 - 2024,Left arm Fast medium,Left hand Bat,Bowler
606,Sikandar Raza,Zimbabwe,2013 - 2025,"Right arm Offbreak, Legbreak",Right hand Bat,Batting Allrounder
607,Rahmanullah Gurbaz,Afghanistan,2019 - 2024,Right arm Medium,Right hand Bat,Wicketkeeper Batter
608,KR Mayers,West Indies,2020 - 2024,Right arm Medium,Left hand Bat,Batting Allrounder
609,Mukesh Kumar,India,2023 - 2024,Right arm Medium,Right hand Bat,Bowler
610,HC Brook,England,2022 - 2024,Right arm Medium,Right hand Bat,Batter
611,AU Rashid,England,2009 - 2024,Legbreak,Right hand Bat,Bowler
612,C Green,Australia,2020 - 2024,Right arm Fast medium,Right hand Bat,Batting Allrounder
613,N Wadhera,India,,Legbreak,Left hand Bat,Top order Batter
614,Arshad Khan,India,,Left arm Medium,Left hand Bat,Bowler
615,Abishek Porel,India,,,Left hand Bat,Wicketkeeper Batter
616,Dhruv Jurel,,,,,
617,MG Bracewell,New Zealand,2022 - 2025,Right arm Offbreak,Left hand Bat,Batting Allrounder
618,MW Short,Australia,2023 - 2024,Right arm Offbreak,Right hand Bat,Top order Batter
619,Mohit Rathee,India,,Legbreak,Right hand Bat,Allrounder
620,YV Dhull,India,,Right arm Offbreak,Right hand Bat,Top order Batter
621,Yudhvir Singh,India,,Right arm Medium fast,Right hand Bat,Bowler
622,Atharva Taide,,,,,
623,Liton Das,,,,,
624,PD Salt,England,2021 - 2024,Right arm Offbreak,Right hand Bat,Wicketkeeper Batter
625,Vijaykumar Vyshak,,,,,
626,Abdul Basith,India,,Right arm Offbreak,Right hand Bat,Allrounder
627,Arjun Tendulkar,,,,,
628,JP Behrendorff,Australia,2017 - 2024,Left arm Fast medium,Right hand Bat,Bowler
629,AJ Hosein,West Indies,2021 - 2024,Slow Left arm Orthodox,Left hand Bat,Bowler
630,Naveen-ul-Haq,Afghanistan,2016 - 2024,Right arm Medium fast,Right hand Bat,Bowler
631,Noor Ahmad,Afghanistan,2022 - 2024,Left arm Wrist spin,Right hand Bat,Bowler
632,JE Root,England,2012 - 2024,Right arm Offbreak,Right hand Bat,Top order Batter
633,KM Asif,India,,Right arm Medium,Right hand Bat,Bowler
634,MD Shanaka,Sri Lanka,2015 - 2024,Right arm Medium,Right hand Bat,Allrounder
635,Sanvir Singh,India,,Right arm Medium,Right hand Bat,Allrounder
636,Vivrant Sharma,India,,Legbreak Googly,Left hand Bat,Allrounder
637,DG Nalkande,India,,Right arm Fast medium,Right hand Bat,Bowler
638,R Ravindra,New Zealand,2021 - 2025,Slow Left arm Orthodox,Left hand Bat,Batting Allrounder
639,SD Hope,West Indies,2015 - 2024,,Right hand Bat,Wicketkeeper Batter
640,Sumit Kumar,India,,Right arm Medium fast,Right hand Bat,Allrounder
641,Azmatullah Omarzai,Afghanistan,2021 - 2024,Right arm Medium fast,Right hand Bat,Allrounder
642,Naman Dhir,India,,Right arm Offbreak,Right hand Bat,Top order Batter
643,G Coetzee,South Africa,2023 - 2024,Right arm Fast,Right hand Bat,Bowler
644,SZ Mulani,India,,Slow Left arm Orthodox,Left hand Bat,Allrounder
645,Sameer Rizvi,India,,Right arm Offbreak,Right hand Bat,Batter
646,SH Johnson,Australia,2023 - 2024,Left arm Fast,Left hand Bat,Bowler
647,Akash Madhwal,,,,,
648,SB Dubey,India,,Right arm Offbreak,Left hand Bat,Middle order Batter
649,Mayank Dagar,,,,,
650,RJW Topley,England,2015 - 2024,Left arm Fast medium,Right hand Bat,Bowler
651,A Raghuvanshi,India,,Slow Left arm Orthodox,Right hand Bat,Top order Batter
652,Ashutosh Sharma,,,,,
653,Nithish Kumar Reddy,,,,,
654,Saurav Chauhan,,,,,
655,Kumar Kushagra,,,,,
656,BR Sharath,India,,,Right hand Bat,Wicketkeeper Batter
657,WG Jacks,England,2022 - 2024,Right arm Offbreak,Right hand Bat,Batting Allrounder
658,J Fraser-McGurk,Australia,2024 - 2024,Legbreak Googly,Right hand Bat,Batter
659,Tanush Kotian,,,,,
660,KA Maharaj,South Africa,2016 - 2025,Slow Left arm Orthodox,Right hand Bat,Bowler
661,Arshad Khan (2),,,,,
662,R Sai Kishore,India,2023 - 2023,Slow Left arm Orthodox,Left hand Bat,Bowler
663,L Wood,England,2022 - 2023,Left arm Fast medium,Left hand Bat,Bowler
664,LB Williams,South Africa,2021 - 2024,Right arm Medium fast,Left hand Bat,Bowler
665,AA Kulkarni,India,,Right arm Medium,Right hand Bat,Allrounder
666,MJ Suthar,India,,Slow Left arm Orthodox,Left hand Bat,Bowling Allrounder
667,RJ Gleeson,England,2022 - 2022,Right arm Fast medium,Right hand Bat,Bowler
668,Gulbadin Naib,Afghanistan,2011 - 2024,Right arm Medium fast,Right hand Bat,Batting Allrounder
669,D Ferreira,South Africa,2023 - 2024,Right arm Offbreak,Right hand Bat,Allrounder
670,A Kamboj,India,,Right arm Medium,Right hand Bat,Allrounder
671,T Kohler-Cadmore,England,,Right arm Offbreak,Right hand Bat,Wicketkeeper Batter
672,Shivam Singh,India,,Right arm Offbreak,Right hand Bat,Allrounder
673,V Viyaskanth,Sri Lanka,2023 - 2023,Legbreak,Right hand Bat,Bowler
674,P Amarnath,,,Right arm Medium,Right hand Bat,
675,B Geeves,Australia,2008 - 2009,Right arm Fast medium,Right hand Bat,Bowler
676,Gagandeep Singh,,,Right arm Medium fast,Right hand Bat,
677,A Nel,South Africa,2001 - 2008,Right arm Fast medium,Right hand Bat,Bowler
